match_id,stage_group,stage,absolute_goal_margin,decided_by_shootout
1,group,Matchday 1,2,0
2,group,Matchday 1,1,0
3,group,Matchday 8,0,0
4,group,Matchday 8,1,0
5,group,Matchday 14,3,0
6,group,Matchday 14,1,0
7,group,Matchday 2,0,0
8,group,Matchday 3,0,0
9,group,Matchday 8,3,0
10,group,Matchday 8,6,0
11,group,Matchday 14,1,0
12,group,Matchday 14,2,0
13,group,Matchday 3,0,0
14,group,Matchday 3,1,0
15,group,Matchday 9,1,0
16,group,Matchday 9,3,0
17,group,Matchday 14,3,0
18,group,Matchday 14,2,0
19,group,Matchday 2,3,0
20,group,Matchday 3,2,0
21,group,Matchday 9,2,0
22,group,Matchday 9,1,0
23,group,Matchday 15,1,0
24,group,Matchday 15,0,0
25,group,Matchday 4,6,0
26,group,Matchday 4,1,0
27,group,Matchday 10,1,0
28,group,Matchday 10,0,0
29,group,Matchday 15,2,0
30,group,Matchday 15,1,0
31,group,Matchday 4,0,0
32,group,Matchday 4,4,0
33,group,Matchday 10,4,0
34,group,Matchday 10,4,0
35,group,Matchday 15,0,0
36,group,Matchday 15,2,0
37,group,Matchday 5,0,0
38,group,Matchday 5,0,0
39,group,Matchday 11,0,0
40,group,Matchday 11,2,0
41,group,Matchday 16,0,0
42,group,Matchday 16,4,0
43,group,Matchday 5,0,0
44,group,Matchday 5,0,0
45,group,Matchday 11,4,0
46,group,Matchday 11,0,0
47,group,Matchday 16,0,0
48,group,Matchday 16,1,0
49,group,Matchday 6,2,0
50,group,Matchday 6,3,0
51,group,Matchday 12,3,0
52,group,Matchday 12,1,0
53,group,Matchday 16,3,0
54,group,Matchday 16,5,0
55,group,Matchday 6,3,0
56,group,Matchday 6,2,0
57,group,Matchday 12,2,0
58,group,Matchday 12,1,0
59,group,Matchday 17,0,0
60,group,Matchday 17,2,0
61,group,Matchday 7,0,0
62,group,Matchday 7,2,0
63,group,Matchday 13,5,0
64,group,Matchday 13,1,0
65,group,Matchday 17,0,0
66,group,Matchday 17,2,0
67,group,Matchday 7,2,0
68,group,Matchday 7,1,0
69,group,Matchday 13,0,0
70,group,Matchday 13,1,0
71,group,Matchday 17,2,0
72,group,Matchday 17,1,0
73,knockout,Round of 32,1,0
74,knockout,Round of 32,0,1
75,knockout,Round of 32,0,1
76,knockout,Round of 32,1,0
77,knockout,Round of 32,3,0
78,knockout,Round of 32,1,0
79,knockout,Round of 32,2,0
80,knockout,Round of 32,1,0
81,knockout,Round of 32,2,0
82,knockout,Round of 32,1,0
83,knockout,Round of 32,1,0
84,knockout,Round of 32,3,0
85,knockout,Round of 32,2,0
86,knockout,Round of 32,1,0
87,knockout,Round of 32,1,0
88,knockout,Round of 32,0,1
89,knockout,Round of 16,1,0
90,knockout,Round of 16,3,0
91,knockout,Round of 16,1,0
92,knockout,Round of 16,1,0
93,knockout,Round of 16,1,0
94,knockout,Round of 16,3,0
95,knockout,Round of 16,1,0
96,knockout,Round of 16,0,1
97,knockout,Quarter-final,2,0
98,knockout,Quarter-final,1,0
99,knockout,Quarter-final,1,0
100,knockout,Quarter-final,2,0
101,knockout,Semi-final,2,0
102,knockout,Semi-final,1,0
103,knockout,Match for third place,2,0
104,knockout,Final,1,0
