team,advanced,group_stage_goals,unique_scorers,top_scorer_goals,top_scorer_names,top_scorer_share
Algeria,1,5,4,2,Riyad Mahrez,0.4
Argentina,1,8,3,6,Lionel Messi,0.75
Australia,1,2,2,1,Connor Metcalfe; Nestory Irankunda,0.5
Austria,1,6,5,2,Marko Arnautovic,0.3333333333333333
Belgium,1,6,5,2,Leandro Trossard,0.3333333333333333
Bosnia & Herzegovina,1,5,4,2,Ermin Mahmic,0.4
Brazil,1,7,2,4,Vinícius Júnior,0.5714285714285714
Canada,1,8,5,3,Jonathan David,0.375
Cape Verde,1,2,2,1,Hélio Varela; Kevin Pina,0.5
Colombia,1,4,3,2,Daniel Muñoz,0.5
Croatia,1,5,5,1,Ante Budimir; Martin Baturina; Nikola Vlasic; Petar Musa; Petar Sucic,0.2
Curaçao,0,1,1,1,Livano Comenencia,1.0
Czech Republic,0,2,2,1,Ladislav Krejcí; Michal Sadílek,0.5
DR Congo,1,4,2,3,Yoane Wissa,0.75
Ecuador,1,2,2,1,Gonzalo Plata; Nilson Angulo,0.5
Egypt,1,5,5,1,Emam Ashour; Mahmoud Saber; Mohamed Salah; Mostafa Zico; Trézéguet,0.2
England,1,6,3,3,Harry Kane,0.5
France,1,10,4,4,Kylian Mbappé; Ousmane Dembélé,0.4
Germany,1,10,7,3,Deniz Undav,0.3
Ghana,1,2,2,1,Caleb Yirenkyi; Derrick Luckassen,0.5
Haiti,0,2,2,1,Wilson Isidor; Yassine Bounou,0.5
Iran,0,3,2,2,Ramin Rezaeian,0.6666666666666666
Iraq,0,1,1,1,Aymen Hussein,1.0
Ivory Coast,1,4,3,2,Nicolas Pépé,0.5
Japan,1,7,5,2,Ayase Ueda; Daichi Kamada,0.2857142857142857
Jordan,0,3,3,1,Ali Olwan; Mousa Al-Tamari; Nizar Al-Rashdan,0.3333333333333333
Mexico,1,6,5,2,Julián Quiñones,0.3333333333333333
Morocco,1,6,4,3,Ismael Saibari,0.5
Netherlands,1,10,6,3,Brian Brobbey,0.3
New Zealand,0,4,2,3,Elijah Just,0.75
Norway,1,8,5,4,Erling Haaland,0.5
Paraguay,1,2,2,1,Matías Galarza; Mauricio,0.5
Portugal,1,6,5,2,Cristiano Ronaldo,0.3333333333333333
Qatar,0,2,2,1,Hassan Al-Haydos; Miro Muheim,0.5
Saudi Arabia,0,1,1,1,Abdulelah Al-Amri,1.0
Scotland,0,1,1,1,John McGinn,1.0
Senegal,1,8,5,3,Ismaïla Sarr,0.375
South Africa,1,2,2,1,Teboho Mokoena; Thapelo Maseko,0.5
South Korea,0,2,2,1,Hwang In-Beom; Oh Hyeon-Gyu,0.5
Spain,1,5,4,2,Mikel Oyarzabal,0.4
Sweden,1,7,5,2,Anthony Elanga; Yasin Ayari,0.2857142857142857
Switzerland,1,7,4,3,Johan Manzambi,0.42857142857142855
Tunisia,0,2,2,1,Hazem Mastouri; Omar Rekik,0.5
Turkey,0,3,3,1,Arda Güler; Baris Alper Yilmaz; Kaan Ayhan,0.3333333333333333
USA,1,8,7,2,Folarin Balogun,0.25
Uruguay,0,3,2,2,Maxi Araújo,0.6666666666666666
Uzbekistan,0,2,2,1,Abbosbek Fayzullaev; Eldor Shomurodov,0.5
